NitricOxide,NitrogenDioxide,OxidesofNitrogen,WindSpeed,ResultantWindSpeed,ResultantWindDirection,MaximumWindGust,Std.Dev.WindDirection,OutdoorTemperature,DewPointTemperature,RelativeHumidity,SolarRadiation,PM10,Ozone
0,1.9,1.8,13.2,12.6,112,24.6,16,81.7,54.4,39,0,58.9,0
0.5,4,4.5,8.6,8.4,288,17.9,14,74.1,28.7,18.7,0,35,0
0.6,2.7,3.3,4.5,3.3,126,10,42,86.7,53.8,32.6,1.348,20.9,0
0.9,3.6,4.5,5.2,4.6,106,11,29,84,55.5,38,1.235,24.1,0
-0.1,2.6,2.5,15.5,14.7,98,28.7,18,92.5,46.6,20.9,1.128,59.3,0
0.3,5.5,5.9,5.1,3.8,329,11.9,41,91.8,38.3,15.6,1.258,28.8,1
0.3,1.9,2.2,5,4,133,12.4,36,89.6,51.2,27,1.372,17.6,0
-0.1,6.3,6.3,3.9,3.5,200,10.2,27,93.4,39,15.1,0.068,30.2,1
0.8,6.3,7.1,4.8,3.2,317,13.2,47,81.8,21.9,10.9,1.348,30.4,1
20.4,29.8,50.4,2.8,1,23,6.2,65,83.3,35.1,18,0,68,0
0.3,7.9,8.1,6.7,6.5,88,13.4,13,77.7,60.5,55.6,0,32.8,0
0.7,10.3,11,7.4,7,94,12.3,18,83.5,40.8,22.1,0,49.9,0
0.1,1.5,1.6,4.8,3.7,91,12.1,38,88.6,19.1,7.8,0.626,20.7,1
1.4,39.9,41.4,2.1,1.8,319,4.7,26,86.7,34.3,15.6,0,109.3,0
1.2,5.2,6.4,7.3,6.8,277,13.8,20,77.7,56.7,48.3,0.618,19.6,0
2.3,8.2,10.5,6.6,6.3,294,11.2,16,80.3,16.8,9.1,1.009,35.2,0
11.1,20.9,31.8,4.3,3.4,291,7.7,37,78.9,54.8,43.5,0.839,24.6,0
-0.2,3,2.7,7.3,7.1,82,14.3,15,87.1,48.3,26.3,0,24.5,0
0.3,3.9,4.2,7.4,7,310,14.2,19,75.1,59,57.3,0,13.1,0
0.3,3.1,3.3,11,9.9,263,31.1,25,85.7,48.5,28,0.11,47.7,0
0.1,5.3,5.5,7,6.8,289,12.3,12,79.7,56.9,45.7,0,23.5,0
-0.2,3,3,5.1,4,120,14.7,37,91.7,39.3,16.1,0.895,22.6,1
1.1,3.3,4.4,8.7,7.6,124,21.6,29,84.5,22,10.1,0.867,23.5,0
0.6,-0.5,0.1,6.9,6.2,291,14.7,27,79.6,57,46,1.352,10.9,0
1,20.3,21.2,4.9,4.8,102,9.4,13,64.6,33.1,30.9,0,25.8,0
0.5,5.5,5.9,8.2,7.7,266,16.5,19,83.4,53.2,35.3,0,27.1,0
1.4,7.4,8.9,3,1.8,276,8.1,51,73.6,26.3,17.2,0.274,53.5,0
1.6,6.7,8.2,12.2,11.7,104,22.8,16,62.9,33.5,33.3,1.108,34.8,0
0.2,4.2,4.4,6.1,5,235,14.3,34,89.6,32.8,13.4,0.676,25,1
0,2.5,2.6,10,9.8,293,16.6,10,78.1,58.7,51.4,0,25.1,0
2.1,11.8,13.7,5.8,5.1,110,11.5,26,74,26.8,17.5,1.349,32,0
1.3,10.1,11.3,5.6,5.4,306,9.9,13,74.1,12.5,9.4,0.055,20.7,0
0.5,17.1,17.5,5.3,5.2,108,9.4,14,63.4,31.6,30.3,0,17.3,0
0.4,3.1,3.5,6.1,4.9,141,17,35,93.2,49.3,22.5,1.518,23,1
0.3,2.8,3.3,9.6,9,91,17.9,20,102.6,33.5,9.2,0.703,37.4,0
0.2,0.4,0.6,7.8,7.1,219,20.5,24,88.3,39.2,17.9,0,172.5,0
1.4,11.5,12.9,5.3,5.1,317,8.8,14,74,58,57.6,0.146,17.3,0
0.1,4.7,4.8,7.9,7.5,81,14.9,18,86.6,48.6,27,0,24.8,0
0.1,4.1,4.2,4.3,2.6,302,10.4,51,75.1,60.1,59.9,0,42.4,0
0.1,3.8,4,6.2,5.2,117,16.6,33,86.7,46.6,25.1,1.396,27.2,1
-0.1,-0.3,-0.4,7,5.3,264,17.1,40,86.1,4.1,4.3,1.301,18.8,1
0,1.5,1.5,3.5,2.4,241,9.8,45,87,28.4,12,0.278,17.2,1
0.4,3.9,4.3,7.3,6.4,120,20.9,28,98.9,38.3,12.5,1.475,33.8,0
0.7,6,6.8,5.1,4,105,11.2,38,86.7,43.4,22.2,0.696,26.5,1
-0.2,1.6,1.4,8.2,7.8,86,14.5,18,77,50.8,39.9,0,44.4,0
5.1,21.8,26.7,7.8,7.5,327,13.2,14,78.3,43.1,28.7,0.15,36.7,0
1.2,5.4,6.6,10.3,9.8,277,20.7,16,57.4,30.1,35.5,0.845,15.4,0
0.5,8.6,9.1,10.6,9.9,139,30,21,86.3,11.2,6,0.091,34.8,0
-0.3,0.4,0.1,3.2,2,277,8.9,51,102.3,32.1,8.7,0.355,19.5,1
0.3,2,2.2,5,3.2,285,13.6,49,89.2,11.9,5.6,1.559,44,0
15.2,24.7,39.7,6.4,6.2,123,11.6,16,64.1,28.3,25.9,0.562,47.6,0
0.2,2.8,3.1,5.9,4.4,124,13.7,40,94.5,42.5,16.9,1.321,30.1,1
0.3,3.7,4,5.4,4.3,218,11.8,36,83.1,48.5,30.2,1.09,26.3,1
0.4,11.8,12.1,2.4,1.8,339,6,40,88.9,39.4,17.6,0,27.9,0
0.1,2.6,2.8,13.3,12.7,109,23.9,17,93.1,53.1,25.9,0.677,38.5,1
0,3.7,3.9,5.1,3.2,47,13,50,90.5,47.7,22.9,0.51,29.7,1
0,1.1,1.1,12.8,12.5,298,29.4,13,54.2,34.4,46.8,0,9.9,0
-0.2,1.8,1.5,7,6.2,82,15.6,26,92.4,38.7,15.4,1.237,18.1,1
0.2,4.9,5.1,6.3,4,115,13.4,49,83.6,26.4,12.4,0.6,20.1,1
-0.3,2.8,2.6,12.9,12.2,51,28.6,18,95.2,54.4,25.4,0.002,387.5,1
1.4,2.6,4.1,9,8.6,109,17.1,18,74.8,56.6,53,0.492,22.5,0
0.4,9.4,9.6,4.6,4,150,9.9,30,90,43.9,20.3,0.127,38.8,1
0.6,12,12.4,3.1,2.2,292,6.6,42,85.1,57.8,39.6,0.001,38.5,0
0.5,2.2,2.7,5.9,4.5,136,12.2,40,101,38.9,11.9,0.638,26.3,1
1,3.9,4.9,6.6,6.2,295,13.7,20,80.9,56,42.5,0.827,22.7,0
-0.1,-0.2,-0.3,7.6,7.4,98,13.2,14,75.3,60.1,59.2,0,13.5,0
0.4,9,9.4,4.6,4.3,298,9.9,21,71.1,58.6,64.7,0,12,0
0.4,2.6,2.9,10,9.5,281,21.1,18,80.6,52.8,38.4,0.3,8.9,0
7.1,33.5,40.6,2.9,2.8,156,6.7,19,93.3,43.9,18.3,0,53.5,0
-0.1,0.8,0.6,3.4,3.2,72,11.4,18,82.8,46.9,28.6,0,16,0
1.1,20.4,21.6,3.6,3.5,134,7.2,15,85.2,43.7,23.4,0,46.5,0
0.5,2.3,2.8,6.1,4.8,131,14.2,37,91.1,40.5,17.2,1.52,55.8,1
0.1,2.9,3,16.5,16.1,99,30.2,13,56.5,37.1,48.2,0,43.7,0
0.4,4.9,5.2,5.5,4.6,119,14.8,33,85.2,39,19.5,0,97.9,0
7.6,13.1,20.8,8,7.7,89,12.4,17,80.6,45.6,29.2,0.547,46,0
1.4,20.1,21.4,4.5,4.3,266,7.6,15,52.2,33.4,48.6,0.047,20.3,0
0.2,3.4,3.7,5.6,4.5,189,12.7,36,83.9,49.8,30.6,0.833,25.6,1
0.4,-1.1,-0.7,5.9,4.4,231,13.8,41,90.1,48.6,24.2,0.592,9.8,0
33.9,38.9,73,3.2,2.7,99,5.8,30,71.4,40.9,33.2,0.003,65.2,0
0.5,0.8,1.3,4.6,4.1,163,14.5,28,100.1,26.7,7.6,0.246,25.5,0
0.3,4.3,4.6,5.7,3.6,123,14.1,49,97.2,44.4,16.6,1.312,27,1
-0.1,4.8,4.8,6.7,6.4,274,16.5,17,81.1,21.1,10.8,0,32.4,0
9.2,14.7,24,5.1,2.9,53,13.4,53,72.1,56,57.7,0.72,22.5,0
0,5.3,5.5,6.5,6.2,119,12.6,20,67.2,59.3,75.9,0.004,11.3,0
0.5,0.9,1.4,7.9,6.7,253,22.6,32,83.6,21.6,10.2,1.425,23.3,0
0.4,14.3,14.8,5.1,4.8,117,8.8,17,88.6,34.3,14.6,0,41.2,0
-0.2,2.7,2.6,4.4,3.1,190,10.4,45,91.3,36,14.4,1.168,13.3,1
0.9,4.7,5.6,11.3,10.9,322,21,14,73.1,59.2,61.9,0,31.6,0
0.1,12.7,12.8,5,4.6,147,16.2,23,73.8,63.9,71.7,0,25.9,0
0.4,9.8,10.1,3.1,0.4,295,7.9,76,80.6,22.7,11.6,0.181,42.5,1
0.8,3.9,4.7,9.3,8.4,127,23.8,25,90.8,52.3,27.2,0.438,39.9,0
0.2,2.4,2.6,7,5.7,273,20.7,35,101.6,-6.3,1.7,1.212,37,0
0,1.1,1.2,6.1,5,72,19.8,35,91.8,49.9,24,1.441,28.5,1
6.4,20.4,26.8,3.1,3,98,5.5,15,77.2,63,61.9,0,65.4,0
0.1,0.7,0.8,5.2,4.2,128,14.6,36,88.4,52.9,29.9,1.433,17.4,1
0.9,4.4,5.3,6.6,5.9,305,14.6,26,83.9,53.7,35.5,1.344,12.5,0
23.9,28.7,52.6,1.7,1.5,148,3.6,30,78.2,63.7,61,0,94,0
0.1,3.8,3.9,9.3,9,91,17.7,14,65,40.4,40.5,0,51.6,0
0.1,4,4,3,2.7,184,6.1,26,96.9,37.9,13,0.053,29.9,1
0.3,16.1,16.5,5.9,5.7,113,10.1,13,75.4,39.1,27,0,33.8,0
-0.1,1.5,1.4,9.4,7.5,31,22.2,36,90.7,46.6,22.1,0.112,109.7,1
0.6,1.5,2.1,5.9,4.3,144,13.9,42,79.1,11.7,7.5,1.256,16.1,1
31.5,38,69.2,2.1,1.8,127,6.3,31,61.4,32.7,33.9,0.016,40,0
0.2,3.3,3.5,7.6,7.4,84,14.1,15,82.5,43.4,25.2,0,38.2,0
2.2,15.2,17.3,5.2,4.9,279,9.2,22,54,31.8,42.8,0.298,23.1,0
0.1,3.5,3.7,8.9,8.6,289,20.3,13,77.1,59.1,53.8,0,22,0
-0.2,1.2,1,9.5,9.1,97,17,17,78.8,58.2,49.3,0,18.4,0
-0.2,-0.4,-0.5,7.3,5.9,258,19.4,35,86.6,1.2,3.7,1.03,15,1
0,3.1,3,2.3,2,72,7.4,30,85.2,41.3,21.3,0,90.8,0
0.1,2.1,2.2,3.2,2.1,113,7.4,48,97.1,37,12.5,0.078,42.3,1
0,2.5,2.5,4.4,1.2,168,12.9,69,90.3,48.6,24.2,1.247,12.4,1
0.5,1,1.5,4.9,3.4,111,12.3,45,90.1,49.3,24.8,1.483,16.7,0
0.1,2.6,2.7,4.1,1.9,332,9.5,60,89.9,51.2,26.6,1.37,24.4,1
0.9,3,4,10.2,9.1,102,26.5,26,80.9,58.8,47,0.619,39.7,0
2.9,20,22.8,5.6,5.4,325,10.5,14,79.9,36.9,21.4,0,21.4,0
0.4,1.7,2.2,16.6,16.1,298,36,14,72.5,2.1,6.2,0.242,41.3,1
1.7,19.4,21,4.6,3.3,121,10.9,44,73.3,58.4,59.6,0.027,26.3,0
1,4.2,5.2,7.9,7,123,17.7,27,85.8,15,7.3,0.424,15.8,0
0.5,9.9,10.4,4.7,4.5,137,8.8,18,94.5,42.1,16.4,0,18.3,0
1.3,3.8,5,7.9,7.1,80,15.1,26,86.8,46.4,25.3,1.104,11.4,1
0.2,4.4,4.5,8.5,8.3,294,15.7,13,84.9,6.2,5,0,30.4,0
0.3,2.9,3.2,5.4,3.6,293,11,46,91.5,41.1,17.5,1.141,10.8,1
0.1,2.5,2.6,4.1,2.7,128,11.4,48,81.5,33.1,17.5,0.721,20.4,1
0.1,7.5,7.7,6.3,6.1,98,11.2,15,76.6,38.4,25.3,0,32.8,0
0.7,3.9,4.6,9.2,8.8,276,22.2,17,76.4,22.5,13.3,0,29.1,0
0.4,5.7,6.1,3.9,1.3,146,9,66,98.5,5.1,3,1.38,27.1,1
0.4,6.1,6.5,5.8,4.7,115,11.6,36,82.7,46.9,28.9,1.26,34.8,1
0,-1.5,-1.5,6.1,4.5,257,16.7,41,87.4,51.2,29,0.901,9,0
0.1,7.5,7.5,6.5,6.3,277,13,16,78.2,54.5,43.9,0.004,18.7,0
0.5,2.2,2.6,5.3,3.4,160,12.8,48,101.8,4.7,2.8,1.04,23.4,1
-0.1,2.7,2.7,6.6,4,141,17.7,50,93.7,48.6,21.7,1.108,26.1,1
-0.2,1.5,1.3,9.9,9.5,100,19,16,81,57,43.9,0.001,13.9,0
-0.1,0.6,0.4,8.9,8.7,100,18.4,13,78.2,60,53.7,0,16.4,0
0.1,4.2,4.4,6.2,2.9,10,17.8,59,103.5,26.9,7,1.396,27.2,1
11.9,23.6,35.7,5.4,5.1,112,10.4,17,76.5,37.9,24.9,0.714,62.2,0
5.1,10,15.3,5.8,5.5,104,10.8,19,77.2,59.7,54.8,0.472,28.6,0
-0.2,1.2,1,14,13.7,294,26.4,12,66.5,24.7,20.5,0,18,0
0,7.9,7.8,2.2,2,230,6.5,27,92.4,39.7,16,0.001,37.6,1
0.3,1,1.3,7.3,6.8,86,15.6,21,78.8,55.9,45.3,0,16.5,0
-0.2,3.2,3.1,15.1,14.3,103,27.6,19,89.1,47.9,24.3,1.327,64.9,0
0.1,4.1,4.2,5.4,3.9,88,12.7,43,91.6,47.9,22.8,1.259,19.1,1
0,2.3,2.3,5.5,3.3,204,16.5,51,99.2,6.5,3.2,0.983,22.1,1
-0.1,2.6,2.5,5.8,4.9,115,12.8,32,91.8,49.6,23.8,1.394,28.9,1
3.8,13.6,17.3,6.4,6.2,280,12.5,15,74.6,23.8,14.9,0,25.6,0
-0.3,0.9,0.7,9.4,9,106,18.2,16,77.9,59.4,53,0,17.3,0
-0.1,2.9,2.8,3,1.5,0,7.2,57,72.2,57.2,59.4,0,8.5,0
0.5,4.1,4.7,11.3,10.6,109,20.3,20,86.4,49.1,27.7,1.071,49.8,0
-0.2,1.8,1.6,6.2,6,79,14.6,16,81.8,46.7,29.3,0,18.8,0
0.8,7.6,8.3,4.2,2.1,255,10.7,57,79.8,23.4,12.4,1.473,33.5,1
0,3.1,3.1,5.1,3.1,139,13.4,51,96.6,41.4,15,1.225,37.3,1
-0.5,1.6,1.1,13.6,13,79,26.1,16,82.3,48.2,30.4,0,41,0
0.3,3.8,4.1,14.9,14,85,30.2,21,92.8,46.3,20.3,1.121,49.8,0
-0.1,0,0,6.7,5.3,115,18,38,80.8,18.4,9.6,1.409,17.5,1
0.2,3.5,3.7,14.9,14.4,89,27.4,15,85.4,48.4,28,0.831,39.4,0
0.1,1.2,1.2,4.3,2.4,154,13.7,54,88.1,55.1,32.7,0.989,19.4,1
0,9.6,9.6,4,3.7,189,7.8,22,83.1,53.2,35.6,0.033,40.8,1
1,7.5,8.6,5.5,4.7,103,11.9,31,84.4,54,35.5,1.214,36,0
-0.1,0.6,0.5,6.6,5.6,270,15.9,32,93.1,45.6,19.7,1.206,13.7,1
0.2,2.3,2.5,5.6,4,161,15,43,94.1,46.2,19.6,1.2,26.9,1
0.5,3.4,3.9,5.8,4.2,143,13.5,42,94,48.8,21.5,0.874,19.4,1
4.8,14.1,18.8,6.2,5.8,326,11.3,21,86,40.7,20.2,1.083,36.5,0
0.4,6.8,7.2,6.8,5.5,119,17,35,86.5,27.5,11.8,0.936,27.2,1
0.6,9.9,10.7,3.8,0.6,162,10.5,75,79,41.5,26.4,1.382,38.1,1
